Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
An Apartment Which Is Up For Sale At Firingee Bazaar Near To Firingee Bazaar Masjid,3.0675087499644182,3.8931007486649056,4,vacant,1783.6678304819393,chattogram,"৳5,000,000","Kobi Kazi Nazrul Islam Road, 33 No. Firingee Bazaar Ward"
Find 1200 Sq Ft Flat Available For Sale In Paikpara,2.7695960231315597,3.040836988681187,6,vacant,1627.4627259231047,dhaka,"৳5,500,000","Ahmed Nagar, Mirpur"
This Apartment Is Now Vacant For Sale In Momin Bagh R/A.,3.166259213887928,3.1628342805979193,,,796.1192159661023,chattogram,"৳4,500,000","Ali Nagar, Bayazid"
3 Katha Plot is now available for sale in Ashulia,3.208378041412643,3.0308248895382883,,,1540.6620874912987,dhaka,"৳4,000,000","Ashulia, Savar"
1100 Sq Ft Residential Apartment For Sale In Mirpur 10,2.567756599568495,3.0550719464529763,2,vacant,3594.816314224296,dhaka,"৳6,700,000","Section 10, Mirpur"
An Adequate 1145 Sq Ft Residential Apartment Is Up For Sale In The Center Of Bakalia .,2.7115077671117014,3.0017158705159144,7,vacant,561.1478563605375,chattogram,"৳5,700,000","6 No East Sholoshohor Ward, Bakalia"
"Buy This Nice Flat Of 900 Sq Ft, Which Is Located At West Monipur Near Jame Mosjid",3.0283224879279027,2.8995736602833397,1,vacant,2768.749317269287,dhaka,"৳4,320,000","West Monipur, Mirpur"
Flat For Sale Covering A Beautiful Area In Shahjadpur Nearby University Of Information Technology And Sciences,3.9299378226129384,3.9520431854986735,7,vacant,2055.0215091832333,dhaka,"৳15,750,000","Shahjadpur, Badda"
"1050 Sq Ft Flat For Sale In Radio Colony, Savar",2.996277776283548,2.88142260273601,6,vacant,1381.5525038977644,dhaka,"৳3,360,000","Radio Colony, Savar"
Choose Your Destination At 1080 Sq Ft Flat Which Is Available For Sale In Thakur Para Near To Modina Jame Masjid,2.8110118104910966,2.8748866377300413,6,vacant,2738.506875973362,cumilla,"৳4,100,000","Thakur Para Road, Thakur Para"
"Decor Your 86 Sq. Ft. Shop In Korbanganj, Is Up For Sale",3.194826814604793,3.039308490080674,1,vacant,939.3730721986303,chattogram,"৳1,050,000","Korbanigonj, Kotwali"
"Grab A 900 Sq Ft Flat For Sale At Shamoly, 24 No. North Agrabad Ward",3.1723164363990666,2.8901044198389068,6,vacant,1642.157915558755,chattogram,"৳5,300,000","24 No. North Agrabad Ward, Double Mooring"
"In Bproperty Village , A Standard Residential Plot Is For Sale",3.0146288152118963,3.0312662583505983,,vacant,67.04208139150956,narayanganj-city,"৳4,575,000","Rupganj, Narayanganj"
This Shop Area Of 110 Sq Ft Is Perfect Enough For Your Next Business Venture In 9 No. North Pahartali Ward,3.249735409817268,2.872625203748835,2,vacant,2164.9202689621484,chattogram,"৳3,850,000","Dhaka Trunk Road, 9 No. North Pahartali Ward"
A 1200 Square Feet-3 Bedroom Residential Apartment For Sale At 33 No. Firingee Bazaar Ward.,3.103574671027819,3.0289991296705074,1,vacant,12.729870424632736,chattogram,"৳6,000,000","Yakub Nagar Road, 33 No. Firingee Bazaar Ward"
"Let Us Assists You To Buy This 1607 Sq Ft Flat In 16 No. Chawk Bazaar Ward, Percival Hill Road",2.809627474541817,2.952185623928486,5,vacant,1313.3266180338355,chattogram,"৳13,000,000","Chawk Bazar, 16 No. Chawk Bazaar Ward"
"An Apartment Is Ready For Sale At Mohammadpur, Near Dhaka Uddyan Government College.",2.081695139970068,2.1376280808556998,,,1264.6747300416068,dhaka,"৳5,700,000","Dhaka Uddan, Mohammadpur"
"Buy This 2000 Sq Ft Apartment In Khulshi, Zakir Hossain Road",2.7875637105843767,3.031673765339164,6,vacant,2717.92806397742,chattogram,"৳13,000,000","Zakir Hossain Road, Khulshi"
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3.194616861630836,3.1209132302667504,4,vacant,402.7178224135133,dhaka,"৳13,800,000","Vashani Goli, Shantinagar"
"This 1370 Sq Ft Apartment Up For Sale In Muradpur, Near Sunshine Grammar School &amp; College",2.9889391305396042,2.926064937505276,7,vacant,905.2863322907301,chattogram,"৳13,200,000","Nasirabad Housing Society, Muradpur"
A worthwhile 1250 SQ FT residential home is ready for sale at Double Mooring,3.959044543586248,4.005493256675887,5,vacant,1765.080471795614,chattogram,"৳5,500,000","25 No. Rampur Ward, Double Mooring"
Grab This 240 Sq Ft Shop For Sale At Bakalia,3.8491430070359147,3.904007072655255,3,vacant,3762.193603384294,chattogram,"৳5,520,000","Dewan Bazar, Bakalia"
115 Sq Ft Commercial Shop For Sale At 9 No. North Pahartali Ward,,,1,vacant,3775.7761152016724,chattogram,"৳4,025,000","Dhaka Trunk Road, 9 No. North Pahartali Ward"
